Date,Name,Category,Necessity,Price
1/1/2023,Groceries,Food,Yes,100
1/2/2023,Eating Out,Food,No,50
1/3/2023,Electricity,Utilities,Yes,80
1/4/2023,Clothes,Clothing,No,75
1/5/2023,Movie Night,Entertainment,No,20
1/6/2023,Internet,Utilities,Yes,60
1/7/2023,Video Games,Entertainment,No,40
1/8/2023,Rent,Housing,Yes,1200
1/9/2023,Home Decor,Home Improvement,No,100
1/10/2023,Transportation,Transportation,Yes,150
1/11/2023,Cell Phone,Utilities,Yes,70
1/12/2023,Spa Day,Personal Care,No,80
1/15/2023,Medical Bills,Healthcare,Yes,200
1/16/2023,Gas,Transportation,Yes,40
1/17/2023,Electronics,Gadgets,No,150
1/18/2023,Insurance,Insurance,Yes,100
1/19/2023,Hobbies,Leisure,No,50
1/20/2023,Student Loan,Debt,Yes,250
1/21/2023,Gym Membership,Health & Fitness,No,30
1/22/2023,Beauty Products,Personal Care,No,40
1/25/2023,Water,Utilities,Yes,40
1/26/2023,Netflix,Entertainment,No,15
2/1/2023,Car Payment,Transportation,Yes,300
2/2/2023,Groceries,Food,Yes,120
2/3/2023,Eating Out,Food,No,60
2/4/2023,Weekend Getaway,Travel,No,200
2/5/2023,Internet,Utilities,Yes,60
2/6/2023,Video Games,Entertainment,No,40
2/7/2023,Concert Tickets,Entertainment,No,75
2/8/2023,Rent,Housing,Yes,1200
2/9/2023,Online Shopping,Shopping,No,100
2/10/2023,Transportation,Transportation,Yes,150
2/11/2023,Cell Phone,Utilities,Yes,70
2/12/2023,Home Appliances,Home Improvement,No,300
2/15/2023,Medical Bills,Healthcare,Yes,220
2/16/2023,Gas,Transportation,Yes,45
2/17/2023,Books and Magazines,Reading,No,40
2/18/2023,Insurance,Insurance,Yes,100
2/19/2023,Music Streaming,Entertainment,No,10
2/20/2023,Student Loan,Debt,Yes,250
2/21/2023,Gym Membership,Health & Fitness,No,30
2/22/2023,Coffee Shop,Food,No,25
2/25/2023,Water,Utilities,Yes,45
2/26/2023,Netflix,Entertainment,No,15
3/1/2023,Groceries,Food,Yes,130
3/2/2023,Eating Out,Food,No,55
3/3/2023,Electricity,Utilities,Yes,85
3/4/2023,Clothes,Clothing,No,75
3/5/2023,Tech Gadgets,Gadgets,No,200
3/6/2023,Internet,Utilities,Yes,60
3/7/2023,Video Games,Entertainment,No,40
3/8/2023,Rent,Housing,Yes,1200
3/9/2023,Home Renovation,Home Improvement,No,500
3/10/2023,Transportation,Transportation,Yes,160
3/11/2023,Cell Phone,Utilities,Yes,70
3/12/2023,Spa Day,Personal Care,No,80
3/15/2023,Medical Bills,Healthcare,Yes,220
3/16/2023,Gas,Transportation,Yes,45
3/17/2023,Streaming Subscriptions,Entertainment,No,20
3/18/2023,Insurance,Insurance,Yes,100
3/19/2023,Arts and Crafts Supplies,Hobbies,No,40
3/20/2023,Student Loan,Debt,Yes,250
3/21/2023,Gym Membership,Health & Fitness,No,30
3/22/2023,Takeout,Food,No,50
3/25/2023,Water,Utilities,Yes,45
3/26/2023,Netflix,Entertainment,No,15
